Year,Quarter,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments
1984,1,"17,885","1,507,883","3,373,920","1,000,767",N/A,"168,660","82,512",N/A,"76,143","9,686","9,489","544,150","261,504","46,521","214,984",N/A,"40,142","75,454","43,353","36,880","67,095","7,748","18,309","2,054,168","60,842","2,034,637","18,545","2,016,092","652,721",N/A,N/A,"116,067","135,523","123,541","2,531","335,789","99,275","48,984","9,488","22,674","25,454","22,917","100,066","3,373,965","2,697,459","346,928","2,350,531","1,860,467","363,956","681,220","1,242,574","20,859","222,016","56,124","68,759","63,601","7,646",N/A,"66,634","3,195,962","177,696","177,696",561,"26,827","59,220","90,545",-248,N/A,N/A,"147,414","147,414",N/A,"25,815","10,896","32,528",N/A,"28,886","259,821","518,398",N/A,"2,955,694","459,604",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2,"17,889","1,570,636","3,479,612","1,045,965",N/A,"177,911","89,458",N/A,"80,906","10,026","10,268","565,143","277,997","51,159","226,839",N/A,"42,188","76,008","44,043","39,544","71,013","8,428","19,114","2,144,456","64,820","2,124,682","19,219","2,105,462","657,010",N/A,N/A,"111,669","144,032","120,842","2,530","334,022","100,056","49,822","9,749","17,956","26,445","23,575","109,916","3,479,612","2,773,230","345,313","2,427,917","1,921,613","379,300","1,981,603","1,306,506","26,790","226,098","64,065","74,686","69,367","9,974",N/A,"68,494","3,298,257","181,105","181,105",601,"27,334","60,712","91,906",-305,N/A,N/A,"149,758","149,758",N/A,"23,477","9,562","35,042",N/A,"30,858","261,611","514,556",N/A,"3,035,538","472,430",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,3,"17,898","1,517,173","3,520,867","1,081,007",N/A,"187,877","95,575",N/A,"83,869","10,209","10,135","566,408","293,062","56,645","236,417",N/A,"42,375","74,904","42,959","43,555","70,346","8,310","19,857","2,196,791","66,032","2,176,827","19,994","2,156,834","657,411",N/A,N/A,"108,112","147,400","119,895","2,430","312,948","98,432","50,434","10,446","27,298","27,203","24,309","116,392","3,520,867","2,781,986","326,894","2,455,093","1,964,713","364,125","2,002,240","1,370,983","25,260","235,381","70,957","77,420","63,684","9,680",N/A,"70,752","3,334,936","185,597","185,597",719,"28,712","61,701","93,981",-359,N/A,N/A,"154,483","154,483",N/A,"24,136","9,404","34,228",N/A,"33,685","255,480","403,986",N/A,"3,080,509","485,485",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,4,"17,901","1,573,287","3,653,117","1,106,192",N/A,"197,455","101,281",N/A,"86,998","10,203","10,832","581,967","311,074","64,110","246,963",N/A,"40,393","73,001","41,107","49,486","79,366","7,221","21,339","2,266,110","64,975","2,246,259","21,899","2,224,360","673,754",N/A,N/A,"108,133","143,710","122,319","2,263","340,804","113,815","51,086","10,836","28,610","28,118","24,968","119,957","3,653,117","2,907,668","317,570","2,590,098","2,043,037","421,536","2,023,598","1,407,295","25,682","240,735","72,403","79,095","62,059","12,327",N/A,"73,800","3,463,948","188,774","188,774",818,"29,201","63,948","94,263",-388,N/A,N/A,"156,782","156,782",N/A,"29,877","9,251","34,353",N/A,"31,199","252,000","400,689",N/A,"3,182,705","495,916",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1,"17,921","1,578,838","3,666,443","1,126,151",N/A,"177,239","136,587",N/A,"88,925","10,328","11,150","587,222","319,656","67,028","252,628",N/A,"38,984","69,907","41,118","50,339","75,134","6,462","21,836","2,291,956","64,263","2,272,604","22,885","2,249,720","678,812",N/A,N/A,"118,577","144,327","118,916","4,090","327,681","105,796","51,709","12,832","27,331","28,875","25,674","124,285","3,666,443","2,916,647","332,166","2,584,481","2,086,014","371,462","2,040,621","1,413,727","64,470","238,022","72,515","80,096","59,601","13,922",N/A,"77,235","3,472,317","193,733","193,733",855,"29,540","66,071","96,718",-398,N/A,N/A,"160,406","160,406",N/A,"28,813","9,649","36,270",N/A,"31,998","248,208","408,399",N/A,"3,212,052","508,051",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2,"17,936","1,599,543","3,758,082","1,158,344",N/A,"182,992","145,797",N/A,"93,191","10,634","11,526","591,211","336,395","71,279","265,116",N/A,"40,483","68,541","40,469","50,487","82,701","5,513","22,824","2,351,351","64,950","2,332,064","24,840","2,307,225","680,846",N/A,N/A,"122,040","136,429","120,541","4,146","340,407","115,902","52,471","13,824","30,657","29,412","26,941","131,703","3,758,082","2,984,331","329,074","2,655,257","2,124,432","400,009","2,162,287","1,427,994","67,639","236,822","77,164","79,463","55,797","14,997",N/A,"84,676","3,557,260","200,443","200,443",900,"29,862","68,602","100,481",-419,N/A,N/A,"164,446","164,446",N/A,"26,107","9,501","37,019",N/A,"31,616","249,175","410,353",N/A,"3,284,192","516,358",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,3,"18,008","1,604,824","3,853,632","1,194,533",N/A,"195,789","149,329",N/A,"96,772","11,063","12,563","596,400","352,401","75,943","276,458",N/A,"39,723","68,250","39,320","52,819","87,243","5,035","23,577","2,414,017","64,303","2,395,051","26,462","2,368,590","695,057",N/A,N/A,"121,203","145,499","127,575","4,306","345,928","126,305","53,408","14,804","33,271","29,859","27,141","132,680","3,853,631","3,051,300","327,205","2,724,095","2,162,307","424,541","2,173,678","1,443,518","65,963","251,113","82,846","98,869","53,990","15,876",N/A,"75,033","3,645,503","207,708","207,708",958,"30,148","70,712","105,246",-403,N/A,N/A,"169,890","169,890",N/A,"27,672","9,983","37,490",N/A,"31,747","248,967","411,263",N/A,"3,371,522","531,099",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4,"18,033","1,617,332","3,993,326","1,223,699",N/A,"203,109","153,769",N/A,"100,782","11,383","13,268","601,777","366,687","83,691","282,996",N/A,"36,117","68,633","39,568","61,185","90,280","4,831","25,927","2,475,070","62,084","2,456,697","28,408","2,428,289","737,998",N/A,N/A,"118,287","144,997","162,346","4,460","360,350","137,329","54,483","15,450","40,511","30,628","27,133","137,946","3,993,319","3,140,827","321,844","2,818,983","2,216,165","460,092","2,180,693","1,470,308","68,756","273,536","85,810","107,790","50,782","17,962",N/A,"77,582","3,779,420","213,504","213,504","1,143","30,637","74,481","106,484",-396,N/A,N/A,"173,292","173,292",N/A,"31,208","9,404","34,485",N/A,"30,609","244,134","405,739",N/A,"3,486,170","543,205",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,1,"18,083","1,622,779","4,022,334","1,241,353",N/A,"213,147","189,986",N/A,"87,046","11,813","14,591","605,744","367,785","85,172","282,613",N/A,"34,371","65,078","40,445","62,016","89,103","4,238","26,932","2,495,569","59,225","2,477,906","30,581","2,447,324","745,002",N/A,N/A,"119,866","163,369","151,167","4,614","349,403","140,187","55,202","17,010","45,014","30,807","28,651","145,634","4,022,326","3,163,361","333,185","2,830,176","2,394,640","430,845","2,196,721","1,495,136","68,344","280,035","83,951","114,191","46,959","18,815",N/A,"81,776","3,801,163","220,757","220,757","1,100","31,000","77,607","110,886",-338,N/A,N/A,"178,440","178,440",N/A,"37,123","10,481","37,265",N/A,"31,687","246,104","419,018",N/A,"3,526,290","547,010",N/A,N/A,N/A,"3,217",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,2,"18,017","1,643,642","4,106,580","1,266,621",N/A,"220,904","195,657",N/A,"88,832","12,249","15,408","608,413","379,488","89,240","290,247",N/A,"34,690","66,105","40,320","60,883","92,845","3,666","27,023","2,538,861","58,570","2,521,562","33,166","2,488,395","775,747",N/A,N/A,"120,900","189,291","146,760","5,219","357,484","141,230","55,809","18,401","43,423","31,302","29,042","150,271","4,106,575","3,211,717","321,691","2,890,025","2,422,642","461,751","2,335,401","1,481,060","68,725","286,713","90,807","118,043","44,767","20,138",N/A,"84,110","3,880,818","225,338","225,338","1,362","30,933","79,994","112,885",-352,N/A,N/A,"181,500","181,500",N/A,"31,369","10,608","38,907","2,738","31,195","242,427","416,611",N/A,"3,596,205","561,217",N/A,N/A,N/A,"4,070",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
